10.3926;10.5696;[0.0107351,0.043478,0,0,0,0,0.043478,0.443488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377318];[-0.758597,0.651561];58:6D:8F:02:B7:DC;100;<hidden>
10.3926;10.5696;[0.0107351,0.043478,0,0,0,0,0.043478,0.443488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377318];[-0.758597,0.651561];E8:39:35:F5:AC:F2;100;eduroam
10.3926;10.5696;[0.0107351,0.043478,0,0,0,0,0.043478,0.443488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377318];[-0.758597,0.651561];00:0F:61:53:E6:B0;100;lrz
10.3926;10.5696;[0.0107351,0.043478,0,0,0,0,0.043478,0.443488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377318];[-0.758597,0.651561];00:0F:61:53:E6:B2;92/;eduroam
10.3926;10.5696;[0.0107351,0.043478,0,0,0,0,0.043478,0.443488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377318];[-0.758597,0.651561];00:0F:61:53:E6:B3;96/;ap01-3b5
10.3926;10.5696;[0.0107351,0.043478,0,0,0,0,0.043478,0.443488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377318];[-0.758597,0.651561];00:0F:61:54:5F:62;76/;mwn-events
10.3926;10.5696;[0.0107351,0.043478,0,0,0,0,0.043478,0.443488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377318];[-0.758597,0.651561];00:0F:61:53:E6:B4;100;lsr
10.3926;10.5696;[0.0107351,0.043478,0,0,0,0,0.043478,0.443488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377318];[-0.758597,0.651561];00:0F:61:53:E6:B5;100;mwn-events
10.3926;10.5696;[0.0107351,0.043478,0,0,0,0,0.043478,0.443488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377318];[-0.758597,0.651561];00:0F:61:54:5F:63;76/;eduroam
10.3926;10.5696;[0.0107351,0.043478,0,0,0,0,0.043478,0.443488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377318];[-0.758597,0.651561];00:0F:61:54:5F:64;76/;ap02-2b5
